mi,sigma,best_ind,avg_ind,fitness_calls,total_time
1,0.2,0.624,0.624,33,56.487
2,0.2,0.626,0.626,36,56.523
3,0.2,0.626,0.626,35,56.693
4,0.2,0.624,0.624,100,56.661
5,0.2,0.623,0.623,95,56.208
10,0.2,0.618,0.618,100,56.204
20,0.2,0.609,0.5,2,58.127
100,0.2,0.605,0.49,1,60.014
200,0.2,0.605,0.49,1,60.263
300,0.2,0.605,0.49,1,60.366
1,0.25,0.628,0.628,38,57.898
2,0.25,0.627,0.627,38,57.233
3,0.25,0.626,0.626,100,53.84
4,0.25,0.628,0.628,94,56.7
5,0.25,0.628,0.591,100,58.067
10,0.25,0.621,0.621,86,58.609
20,0.25,0.611,0.498,2,58.779
100,0.25,0.61,0.477,1,60.565
200,0.25,0.61,0.477,1,60.216
300,0.25,0.61,0.477,1,60.354
1,0.3,0.637,0.637,35,57.373
2,0.3,0.631,0.631,95,57.741
3,0.3,0.627,0.627,75,55.106
4,0.3,0.624,0.623,5,57.151
5,0.3,0.62,0.62,94,56.6
10,0.3,0.617,0.46,1,61.732
20,0.3,0.617,0.46,1,61.384
100,0.3,0.617,0.46,1,61.286
200,0.3,0.617,0.46,1,60.106
300,0.3,0.617,0.46,1,60.214
1,0.35,0.639,0.639,36,56.365
2,0.35,0.635,0.635,37,56.312
3,0.35,0.632,0.632,36,57.311
4,0.35,0.626,0.583,100,58.097
5,0.35,0.624,0.616,99,55.569
10,0.35,0.621,0.588,100,56.299
20,0.35,0.616,0.446,1,59.5
100,0.35,0.616,0.446,1,60.34
200,0.35,0.616,0.446,1,60.541
300,0.35,0.616,0.446,1,60.279
1,0.5,0.62,0.62,35,59.286
2,0.5,0.623,0.623,35,57.49
3,0.5,0.623,0.623,39,55.003
4,0.5,0.627,0.627,95,58.539
5,0.5,0.628,0.615,92,58.251
10,0.5,0.629,0.629,100,55.784
20,0.5,0.626,0.626,100,56.243
100,0.5,0.606,0.499,3,59.679
200,0.5,0.613,0.499,2,59.379
300,0.5,0.613,0.498,2,60.534
1,0.55,0.619,0.619,37,58.328
2,0.55,0.626,0.626,100,58.977
3,0.55,0.628,0.628,87,58.996
4,0.55,0.629,0.589,100,57.235
5,0.55,0.63,0.63,100,57.803
10,0.55,0.626,0.626,100,58.201
20,0.55,0.625,0.625,100,57.745
100,0.55,0.613,0.497,2,59.46
200,0.55,0.613,0.497,2,59.375
300,0.55,0.613,0.497,2,60.677
1,0.6,0.624,0.624,37,60.245
2,0.6,0.624,0.624,36,58.603
3,0.6,0.624,0.624,67,57.321
4,0.6,0.626,0.626,100,56.679
5,0.6,0.628,0.628,100,55.636
10,0.6,0.628,0.628,100,57.803
20,0.6,0.627,0.627,100,56.761
100,0.6,0.611,0.494,2,59.166
200,0.6,0.613,0.495,2,59.542
300,0.6,0.614,0.495,2,59.515
1,0.65,0.626,0.626,36,58.773
2,0.65,0.629,0.629,88,59.013
3,0.65,0.629,0.629,77,59.433
4,0.65,0.63,0.63,93,58.474
5,0.65,0.629,0.629,92,57.123
10,0.65,0.631,0.631,91,54.854
20,0.65,0.626,0.626,100,57.213
100,0.65,0.614,0.49,2,60.015
200,0.65,0.614,0.49,2,60.761
300,0.65,0.614,0.49,2,60.714
1,0.7,0.624,0.624,36,59.996
2,0.7,0.627,0.627,34,58.909
3,0.7,0.629,0.629,86,59.84
4,0.7,0.63,0.63,100,58.267
5,0.7,0.631,0.631,100,56.857
10,0.7,0.631,0.579,100,55.158
20,0.7,0.624,0.624,100,56.01
100,0.7,0.613,0.49,2,60.115
200,0.7,0.613,0.489,2,60.93
300,0.7,0.613,0.489,2,60.591
1,0.75,0.622,0.622,35,58.606
2,0.75,0.629,0.629,35,58.44
3,0.75,0.627,0.627,100,60.164
4,0.75,0.629,0.629,94,58.829
5,0.75,0.632,0.591,100,57.725
10,0.75,0.631,0.631,100,56.828
20,0.75,0.635,0.495,2,56.897
100,0.75,0.61,0.498,3,59.621
200,0.75,0.609,0.486,2,60.586
300,0.75,0.607,0.485,2,60.966
