mutation_rate,crossover_rate,best_ind,avg_ind,fitness_calls,total_time
0.1,0.1,0.636,0.492,200,134.154
0.2,0.1,0.636,0.505,200,131.844
0.3,0.1,0.637,0.509,200,132.367
0.4,0.1,0.634,0.513,200,133.541
0.5,0.1,0.635,0.515,200,133.333
0.6,0.1,0.63,0.52,200,135.104
0.7,0.1,0.633,0.525,200,136.073
0.8,0.1,0.633,0.53,200,136.316
0.9,0.1,0.633,0.539,200,136.49
1.0,0.1,0.633,0.549,200,135.916
0.1,0.2,0.639,0.493,200,133.925
0.2,0.2,0.637,0.504,200,132.066
0.3,0.2,0.637,0.509,200,132.591
0.4,0.2,0.638,0.513,200,132.301
0.5,0.2,0.633,0.516,200,133.385
0.6,0.2,0.636,0.521,200,133.766
0.7,0.2,0.637,0.523,200,136.19
0.8,0.2,0.637,0.529,200,136.229
0.9,0.2,0.632,0.534,200,136.476
1.0,0.2,0.631,0.537,200,137.094
0.1,0.3,0.64,0.491,200,135.203
0.2,0.3,0.638,0.504,200,131.634
0.3,0.3,0.638,0.509,200,131.697
0.4,0.3,0.637,0.512,200,132.316
0.5,0.3,0.639,0.515,200,132.603
0.6,0.3,0.638,0.519,200,133.829
0.7,0.3,0.634,0.521,200,135.459
0.8,0.3,0.64,0.524,200,136.186
0.9,0.3,0.636,0.526,200,137.032
1.0,0.3,0.636,0.527,200,138.099
0.1,0.4,0.637,0.49,200,135.737
0.2,0.4,0.635,0.503,200,131.791
0.3,0.4,0.638,0.508,200,131.777
0.4,0.4,0.638,0.511,200,131.968
0.5,0.4,0.639,0.514,200,132.831
0.6,0.4,0.642,0.517,200,133.308
0.7,0.4,0.638,0.519,200,134.023
0.8,0.4,0.637,0.523,200,134.809
0.9,0.4,0.638,0.521,200,136.016
1.0,0.4,0.635,0.522,200,136.388
0.1,0.5,0.638,0.489,200,135.442
0.2,0.5,0.637,0.502,200,132.416
0.3,0.5,0.64,0.507,200,132.184
0.4,0.5,0.641,0.51,200,131.764
0.5,0.5,0.64,0.512,200,132.156
0.6,0.5,0.642,0.514,200,132.957
0.7,0.5,0.636,0.516,200,133.789
0.8,0.5,0.639,0.519,200,134.886
0.9,0.5,0.637,0.518,200,134.96
1.0,0.5,0.636,0.518,200,135.728
0.1,0.6,0.64,0.488,200,135.838
0.2,0.6,0.641,0.5,200,131.902
0.3,0.6,0.636,0.505,200,131.138
0.4,0.6,0.639,0.509,200,131.246
0.5,0.6,0.64,0.511,200,131.581
0.6,0.6,0.638,0.513,200,132.575
0.7,0.6,0.639,0.515,200,132.817
0.8,0.6,0.637,0.516,200,134.372
0.9,0.6,0.634,0.516,200,133.966
1.0,0.6,0.637,0.516,200,134.814
0.1,0.7,0.636,0.487,200,135.979
0.2,0.7,0.636,0.498,200,132.754
0.3,0.7,0.639,0.506,200,130.855
0.4,0.7,0.64,0.507,200,131.496
0.5,0.7,0.641,0.508,200,131.251
0.6,0.7,0.641,0.511,200,132.078
0.7,0.7,0.641,0.513,200,133.771
0.8,0.7,0.64,0.513,200,133.032
0.9,0.7,0.637,0.514,200,133.256
1.0,0.7,0.64,0.515,200,133.663
0.1,0.8,0.633,0.485,200,135.617
0.2,0.8,0.636,0.498,200,132.669
0.3,0.8,0.639,0.504,200,130.734
0.4,0.8,0.64,0.506,200,130.54
0.5,0.8,0.641,0.508,200,130.907
0.6,0.8,0.642,0.51,200,130.759
0.7,0.8,0.641,0.51,200,131.565
0.8,0.8,0.641,0.511,200,132.113
0.9,0.8,0.641,0.512,200,132.343
1.0,0.8,0.641,0.512,200,132.677
0.1,0.9,0.631,0.484,200,136.318
0.2,0.9,0.638,0.495,200,132.879
0.3,0.9,0.64,0.502,200,131.233
0.4,0.9,0.64,0.505,200,130.444
0.5,0.9,0.64,0.507,200,129.953
0.6,0.9,0.64,0.507,200,130.729
0.7,0.9,0.641,0.508,200,130.443
0.8,0.9,0.642,0.509,200,131.478
0.9,0.9,0.64,0.51,200,131.439
1.0,0.9,0.641,0.51,200,131.843
0.1,1.0,0.628,0.481,200,138.283
0.2,1.0,0.63,0.491,200,134.082
0.3,1.0,0.634,0.498,200,132.615
0.4,1.0,0.635,0.5,200,131.765
0.5,1.0,0.637,0.502,200,131.597
0.6,1.0,0.639,0.504,200,131.787
0.7,1.0,0.641,0.504,200,131.791
0.8,1.0,0.64,0.505,200,131.387
0.9,1.0,0.64,0.506,200,131.166
1.0,1.0,0.639,0.506,200,131.001
