global_factor,local_factor,v_max,mutation_rate,crossover_rate,best_ind,avg_ind,fitness_calls,total_time
3.5,1.0,5.5,0.2,0.5,0.643,0.542,201,115.475
3.5,1.0,5.5,0.2,0.7,0.644,0.531,193,115.456
3.5,1.0,5.5,0.2,0.9,0.644,0.597,203,116.819
3.5,1.0,5.5,0.2,1.0,0.644,0.622,203,118.037
3.5,1.0,5.5,0.4,0.5,0.643,0.515,201,117.782
3.5,1.0,5.5,0.4,0.7,0.644,0.513,203,117.887
3.5,1.0,5.5,0.4,0.9,0.644,0.569,201,118.401
3.5,1.0,5.5,0.4,1.0,0.644,0.545,189,116.054
3.5,1.0,5.5,0.6,0.5,0.643,0.558,201,114.996
3.5,1.0,5.5,0.6,0.7,0.644,0.532,189,116.161
3.5,1.0,5.5,0.6,0.9,0.644,0.582,201,115.701
3.5,1.0,5.5,0.6,1.0,0.644,0.515,203,117.2
3.5,1.0,5.5,0.8,0.5,0.643,0.55,179,116.343
3.5,1.0,5.5,0.8,0.7,0.644,0.535,199,115.976
3.5,1.0,5.5,0.8,0.9,0.644,0.539,191,118.075
3.5,1.0,5.5,0.8,1.0,0.644,0.544,201,117.433
3.5,1.0,7.75,0.2,0.5,0.644,0.529,195,116.591
3.5,1.0,7.75,0.2,0.7,0.643,0.505,203,115.967
3.5,1.0,7.75,0.2,0.9,0.644,0.515,203,115.93
3.5,1.0,7.75,0.2,1.0,0.644,0.603,201,115.304
3.5,1.0,7.75,0.4,0.5,0.644,0.529,203,116.841
3.5,1.0,7.75,0.4,0.7,0.644,0.509,203,116.549
3.5,1.0,7.75,0.4,0.9,0.644,0.537,195,116.306
3.5,1.0,7.75,0.4,1.0,0.644,0.527,203,117.053
3.5,1.0,7.75,0.6,0.5,0.643,0.519,201,115.244
3.5,1.0,7.75,0.6,0.7,0.642,0.546,201,118.437
3.5,1.0,7.75,0.6,0.9,0.644,0.537,203,116.354
3.5,1.0,7.75,0.6,1.0,0.644,0.515,203,116.746
3.5,1.0,7.75,0.8,0.5,0.644,0.521,197,118.192
3.5,1.0,7.75,0.8,0.7,0.644,0.521,203,117.972
3.5,1.0,7.75,0.8,0.9,0.644,0.526,203,117.041
3.5,1.0,7.75,0.8,1.0,0.644,0.514,189,116.533
3.5,1.0,10.0,0.2,0.5,0.644,0.536,195,118.74
3.5,1.0,10.0,0.2,0.7,0.644,0.516,203,118.163
3.5,1.0,10.0,0.2,0.9,0.644,0.545,203,118.637
3.5,1.0,10.0,0.2,1.0,0.643,0.634,203,118.671
3.5,1.0,10.0,0.4,0.5,0.644,0.565,201,118.223
3.5,1.0,10.0,0.4,0.7,0.644,0.521,203,118.088
3.5,1.0,10.0,0.4,0.9,0.644,0.529,203,117.563
3.5,1.0,10.0,0.4,1.0,0.644,0.523,199,117.099
3.5,1.0,10.0,0.6,0.5,0.644,0.522,203,118.701
3.5,1.0,10.0,0.6,0.7,0.644,0.532,203,118.438
3.5,1.0,10.0,0.6,0.9,0.644,0.541,203,117.311
3.5,1.0,10.0,0.6,1.0,0.644,0.613,201,117.33
3.5,1.0,10.0,0.8,0.5,0.644,0.562,203,117.93
3.5,1.0,10.0,0.8,0.7,0.644,0.562,201,117.494
3.5,1.0,10.0,0.8,0.9,0.644,0.525,203,117.131
3.5,1.0,10.0,0.8,1.0,0.644,0.526,191,119.282
2.25,2.25,5.5,0.2,0.5,0.643,0.536,191,116.627
2.25,2.25,5.5,0.2,0.7,0.644,0.56,203,116.649
2.25,2.25,5.5,0.2,0.9,0.644,0.545,201,117.156
2.25,2.25,5.5,0.2,1.0,0.644,0.572,203,116.884
2.25,2.25,5.5,0.4,0.5,0.642,0.517,203,119.434
2.25,2.25,5.5,0.4,0.7,0.644,0.533,199,119.239
2.25,2.25,5.5,0.4,0.9,0.644,0.555,203,118.565
2.25,2.25,5.5,0.4,1.0,0.644,0.596,203,117.726
2.25,2.25,5.5,0.6,0.5,0.644,0.566,201,117.628
2.25,2.25,5.5,0.6,0.7,0.644,0.566,203,116.473
2.25,2.25,5.5,0.6,0.9,0.644,0.545,203,118.074
2.25,2.25,5.5,0.6,1.0,0.644,0.55,203,118.532
2.25,2.25,5.5,0.8,0.5,0.644,0.533,191,117.804
2.25,2.25,5.5,0.8,0.7,0.644,0.534,203,118.598
2.25,2.25,5.5,0.8,0.9,0.644,0.546,203,117.923
2.25,2.25,5.5,0.8,1.0,0.644,0.558,203,118.816
2.25,2.25,7.75,0.2,0.5,0.644,0.552,203,117.017
2.25,2.25,7.75,0.2,0.7,0.644,0.527,203,120.917
2.25,2.25,7.75,0.2,0.9,0.644,0.551,203,119.951
2.25,2.25,7.75,0.2,1.0,0.644,0.597,203,118.933
2.25,2.25,7.75,0.4,0.5,0.644,0.533,201,117.129
2.25,2.25,7.75,0.4,0.7,0.644,0.548,203,119.679
2.25,2.25,7.75,0.4,0.9,0.642,0.527,201,119.691
2.25,2.25,7.75,0.4,1.0,0.644,0.592,203,119.581
2.25,2.25,7.75,0.6,0.5,0.644,0.534,203,118.32
2.25,2.25,7.75,0.6,0.7,0.644,0.542,203,119.864
2.25,2.25,7.75,0.6,0.9,0.644,0.561,203,119.553
2.25,2.25,7.75,0.6,1.0,0.641,0.546,203,120.208
2.25,2.25,7.75,0.8,0.5,0.644,0.534,191,122.649
2.25,2.25,7.75,0.8,0.7,0.644,0.55,203,120.573
2.25,2.25,7.75,0.8,0.9,0.642,0.511,191,120.103
2.25,2.25,7.75,0.8,1.0,0.642,0.52,203,120.759
2.25,2.25,10.0,0.2,0.5,0.643,0.572,201,117.614
2.25,2.25,10.0,0.2,0.7,0.644,0.539,191,118.734
2.25,2.25,10.0,0.2,0.9,0.644,0.572,203,117.822
2.25,2.25,10.0,0.2,1.0,0.644,0.59,201,119.16
2.25,2.25,10.0,0.4,0.5,0.644,0.528,203,119.664
2.25,2.25,10.0,0.4,0.7,0.644,0.536,203,119.125
2.25,2.25,10.0,0.4,0.9,0.643,0.559,203,117.629
2.25,2.25,10.0,0.4,1.0,0.644,0.568,203,118.323
2.25,2.25,10.0,0.6,0.5,0.644,0.518,203,120.771
2.25,2.25,10.0,0.6,0.7,0.644,0.54,201,120.62
2.25,2.25,10.0,0.6,0.9,0.644,0.542,203,120.499
2.25,2.25,10.0,0.6,1.0,0.644,0.545,199,119.729
2.25,2.25,10.0,0.8,0.5,0.644,0.537,203,119.873
2.25,2.25,10.0,0.8,0.7,0.644,0.53,203,120.079
2.25,2.25,10.0,0.8,0.9,0.644,0.543,203,119.864
2.25,2.25,10.0,0.8,1.0,0.644,0.595,203,119.409
3.5,2.25,5.5,0.2,0.5,0.641,0.62,203,116.213
3.5,2.25,5.5,0.2,0.7,0.64,0.64,181,116.287
3.5,2.25,5.5,0.2,0.9,0.642,0.628,203,116.139
3.5,2.25,5.5,0.2,1.0,0.64,0.64,183,116.135
3.5,2.25,5.5,0.4,0.5,0.643,0.643,191,115.665
3.5,2.25,5.5,0.4,0.7,0.644,0.639,203,116.096
3.5,2.25,5.5,0.4,0.9,0.642,0.642,175,116.41
3.5,2.25,5.5,0.4,1.0,0.641,0.641,191,116.52
3.5,2.25,5.5,0.6,0.5,0.644,0.579,203,117.12
3.5,2.25,5.5,0.6,0.7,0.643,0.643,203,116.336
3.5,2.25,5.5,0.6,0.9,0.644,0.611,203,116.537
3.5,2.25,5.5,0.6,1.0,0.644,0.643,203,116.044
3.5,2.25,5.5,0.8,0.5,0.643,0.573,203,116.463
3.5,2.25,5.5,0.8,0.7,0.644,0.582,203,117.021
3.5,2.25,5.5,0.8,0.9,0.644,0.551,203,117.14
3.5,2.25,5.5,0.8,1.0,0.644,0.633,203,116.449
3.5,2.25,7.75,0.2,0.5,0.643,0.54,201,116.311
3.5,2.25,7.75,0.2,0.7,0.644,0.604,197,117.227
