nc,beta,clone_threshold,supression_threshold,newcomers_percentage,fitness_calls,best_ind,avg_ind,total_time
2,10,0.05,0.4,0.1,0,0.0,0.0,0.0
2,10,0.05,0.4,0.2,0,0.0,0.0,0.0
2,10,0.05,0.4,0.4,0,0.0,0.0,0.0
2,10,0.05,0.8,0.1,0,0.0,0.0,0.0
2,10,0.05,0.8,0.2,0,0.0,0.0,0.0
2,10,0.05,0.8,0.4,0,0.0,0.0,0.0
2,10,0.05,2.0,0.1,0,0.0,0.0,0.0
2,10,0.05,2.0,0.2,0,0.0,0.0,0.0
2,10,0.05,2.0,0.4,0,0.0,0.0,0.0
2,10,0.15,0.4,0.1,0,0.0,0.0,0.0
2,10,0.15,0.4,0.2,0,0.0,0.0,0.0
2,10,0.15,0.4,0.4,0,0.0,0.0,0.0
2,10,0.15,0.8,0.1,0,0.0,0.0,0.0
2,10,0.15,0.8,0.2,0,0.0,0.0,0.0
2,10,0.15,0.8,0.4,0,0.0,0.0,0.0
2,10,0.15,2.0,0.1,0,0.0,0.0,0.0
2,10,0.15,2.0,0.2,0,0.0,0.0,0.0
2,10,0.15,2.0,0.4,0,0.0,0.0,0.0
2,10,0.3,0.4,0.1,0,0.0,0.0,0.0
2,10,0.3,0.4,0.2,0,0.0,0.0,0.0
2,10,0.3,0.4,0.4,0,0.0,0.0,0.0
2,10,0.3,0.8,0.1,0,0.0,0.0,0.0
2,10,0.3,0.8,0.2,0,0.0,0.0,0.0
2,10,0.3,0.8,0.4,0,0.0,0.0,0.0
2,10,0.3,2.0,0.1,0,0.0,0.0,0.0
2,10,0.3,2.0,0.2,0,0.0,0.0,0.0
2,10,0.3,2.0,0.4,0,0.0,0.0,0.0
4,10,0.05,0.4,0.1,0,0.0,0.0,0.0
4,10,0.05,0.4,0.2,0,0.0,0.0,0.0
4,10,0.05,0.4,0.4,0,0.0,0.0,0.0
4,10,0.05,0.8,0.1,15151,0.639,0.544,37.205
4,10,0.05,0.8,0.2,29765,0.638,0.543,48.101
4,10,0.05,0.8,0.4,64729,0.64,0.521,74.234
4,10,0.05,2.0,0.1,3552,0.641,0.57,28.531
4,10,0.05,2.0,0.2,3552,0.641,0.57,29.41
4,10,0.05,2.0,0.4,3552,0.641,0.57,28.602
4,10,0.15,0.4,0.1,0,0.0,0.0,0.0
4,10,0.15,0.4,0.2,0,0.0,0.0,0.0
4,10,0.15,0.4,0.4,0,0.0,0.0,0.0
4,10,0.15,0.8,0.1,15151,0.639,0.544,36.778
4,10,0.15,0.8,0.2,29765,0.638,0.543,47.821
4,10,0.15,0.8,0.4,64729,0.64,0.521,74.091
4,10,0.15,2.0,0.1,2603,0.636,0.568,26.981
4,10,0.15,2.0,0.2,2603,0.636,0.568,27.176
4,10,0.15,2.0,0.4,2603,0.636,0.568,27.49
4,10,0.3,0.4,0.1,0,0.0,0.0,0.0
4,10,0.3,0.4,0.2,0,0.0,0.0,0.0
4,10,0.3,0.4,0.4,0,0.0,0.0,0.0
4,10,0.3,0.8,0.1,15151,0.639,0.544,36.697
4,10,0.3,0.8,0.2,29765,0.638,0.543,48.2
4,10,0.3,0.8,0.4,64729,0.64,0.521,73.789
4,10,0.3,2.0,0.1,2591,0.637,0.637,26.789
4,10,0.3,2.0,0.2,2591,0.637,0.637,26.877
4,10,0.3,2.0,0.4,2591,0.637,0.637,27.755
8,10,0.05,0.4,0.1,0,0.0,0.0,0.0
8,10,0.05,0.4,0.2,0,0.0,0.0,0.0
8,10,0.05,0.4,0.4,0,0.0,0.0,0.0
8,10,0.05,0.8,0.1,0,0.0,0.0,0.0
8,10,0.05,0.8,0.2,0,0.0,0.0,0.0
8,10,0.05,0.8,0.4,0,0.0,0.0,0.0
8,10,0.05,2.0,0.1,0,0.0,0.0,0.0
8,10,0.05,2.0,0.2,0,0.0,0.0,0.0
8,10,0.05,2.0,0.4,0,0.0,0.0,0.0
8,10,0.15,0.4,0.1,0,0.0,0.0,0.0
8,10,0.15,0.4,0.2,0,0.0,0.0,0.0
8,10,0.15,0.4,0.4,0,0.0,0.0,0.0
8,10,0.15,0.8,0.1,0,0.0,0.0,0.0
8,10,0.15,0.8,0.2,0,0.0,0.0,0.0
8,10,0.15,0.8,0.4,0,0.0,0.0,0.0
8,10,0.15,2.0,0.1,0,0.0,0.0,0.0
8,10,0.15,2.0,0.2,0,0.0,0.0,0.0
8,10,0.15,2.0,0.4,0,0.0,0.0,0.0
8,10,0.3,0.4,0.1,0,0.0,0.0,0.0
8,10,0.3,0.4,0.2,0,0.0,0.0,0.0
8,10,0.3,0.4,0.4,0,0.0,0.0,0.0
